isbn;title;pages;category;author;publisher
1558604286;Computer Organization And Design;759;Computers;david a. patterson;Morgan Kaufmann
0425195899;Irish Born;758;Fiction;nora roberts;Berkley Publishing Group
0345369432;California Gold;757;Fiction;john jakes;Ballantine Books
1565922433;Perl Cookbook;757;Computers;tom christiansen;"O'Reilly"
1565922433;Perl Cookbook;757;Computers;nathan torkington;"O'Reilly"
0515103446;Stranger In Savannah;755;Fiction;eugenia price;Jove Books
0345422554;Polgara The Sorceress;754;Fiction;david eddings;Del Rey Books
0345422554;Polgara The Sorceress;754;Fiction;leigh eddings;Del Rey Books
0440225299;Numbered Account;753;Fiction;christopher reich;Dell
0672314835;"Peter Norton'S Complete Guide To Pc Upgrades";752;Computers;peter norton;Sams
0672314835;"Peter Norton'S Complete Guide To Pc Upgrades";752;Computers;michael desmond;Sams
0061092037;The Fourth Estate;752;Fiction;jeffrey archer;Harpertorch
0553569570;The Apocalypse Watch;751;Fiction;robert ludlum;Bantam Books
0140191917;The Act Of Creation;751;Philosophy;arthur koestler;Penguin Books
0425143325;Without Remorse;750;Fiction;tom clancy;Berkley Publishing Group
0451156609;The Tommyknockers;747;Fiction;stephen king;Signet Book
0070254923;"Harley Hahn'S Student Guide To Unix";746;Computers;harley hahn;Mcgraw-Hill Science/Engineering/Math
0345396685;When Christ And His Saints Slept;746;Fiction;sharon kay penman;Ballantine Books
0394726251;"The Discoverers : [A History Of Man'S Search To Know World And Himself]";745;History;daniel joseph boorstin;Vintage Books Usa
0201357569;Problem Solving , Abstraction, And Design Using C++;745;Computers;frank l. friedman;Addison Wesley Publishing Company
0201357569;Problem Solving , Abstraction, And Design Using C++;745;Computers;elliot b. koffman;Addison Wesley Publishing Company
0201357569;Problem Solving , Abstraction, And Design Using C++;745;Computers;robin koffman;Addison Wesley Publishing Company
1558285520;Teach Yourself...C++;744;Computers;al stevens;John Wiley  Sons Inc
0130819336;Core Java 1.2;742;Java (Computer Program Language);gary cornell;Prentice Hall Ptr
078212223X;Mcse--Nt Workstation 4 Study Guide;741;Computers;charles l. perkins;Sybex Inc
078212223X;Mcse--Nt Workstation 4 Study Guide;741;Computers;charles perkins;Sybex Inc
078212223X;Mcse--Nt Workstation 4 Study Guide;741;Computers;matthew strebe;Sybex Inc
078212223X;Mcse--Nt Workstation 4 Study Guide;741;Computers;james chellis;Sybex Inc
0760049602;Systems Architecture;736;Computer Architecture;stephen d. burd;Course Technology
0439139600;Harry Potter And The Goblet Of Fire (Book 4);734;Juvenile Fiction;rowling  j.k.;Scholastic Paperbacks
